title,body,labels,assignees,milestone,estimated_effort
"[T-01] Docker-Compose Produktionskonfiguration erstellen","Erstelle eine vollständige `docker-compose.yml` für alle Kernservices: Elasticsearch 8.x (3 Nodes), Redis, Kafka + Zookeeper, PostgreSQL 15, FastAPI Backend, Next.js Frontend. Volumes, Healthchecks, Netzwerke und Environment-Variables definieren.

**Quelle:** architecture.md.resolved (Storage Layer); task.md.resolved Abschnitt 8; hyper_mega_c2_systembuch.md.resolved Kap. 2

**Akzeptanzkriterien:**
- [ ] `docker compose up -d` startet alle Services ohne Fehler
- [ ] Alle Healthchecks grün
- [ ] Elasticsearch Cluster-Status = green
- [ ] Kafka Topic `raw_articles` existiert

**Risiko:** Ressourcenmangel auf Zielserver (hoch × mittel). Gegenmaßnahme: Min. 16 GB RAM konfigurieren.

**Rollback:** `docker compose down -v`","infrastructure,P0,docker","","M-01: Infrastruktur & Basisservices","3 PT"
"[T-02] Elasticsearch Index-Schema für Artikel-Index","Definiere das Mapping für den primären Artikel-Index mit allen Pflichtfeldern inkl. dense_vector (384 dims). Time-based Index-Rotation täglich. 2 Replicas pro Shard.

**Quelle:** task.md.resolved Abschnitt 3; hyper_mega_c2_systembuch.md.resolved Kap. 5

**Akzeptanzkriterien:**
- [ ] PUT-Mapping ohne Fehler akzeptiert
- [ ] Beispiel-Dokument korrekt indiziert
- [ ] kNN-Query liefert Ergebnis

**Rollback:** Alias auf alten Index zurückschalten; Snapshot-Restore.","infrastructure,P0,elasticsearch","","M-01: Infrastruktur & Basisservices","2 PT"
"[T-03] PostgreSQL Source-Registry anlegen","Erstelle das DB-Schema für Source-Registry (sources, crawl_history, user_searches) mit Alembic-Migrations. 1000 Quellen als Seed-Daten.

**Quelle:** task.md.resolved Abschnitt 6; architecture.md.resolved Storage Layer

**Akzeptanzkriterien:**
- [ ] Alle Migrationen fehlerfrei
- [ ] CRUD auf sources funktioniert
- [ ] 1000 Quellen importiert

**Rollback:** `alembic downgrade -1`","infrastructure,P0,database","","M-01: Infrastruktur & Basisservices","2 PT"
"[T-04] Scrapy-Redis verteilten Crawler implementieren","Implementiere Basis-Crawler mit Scrapy + Scrapy-Redis. Durchsatz min. 10.000 Seiten/Minute. Delta-Crawling via SHA-256. Deduplication-Queue in Redis. Dead-Letter-Queue. Output in Kafka.

**Quelle:** architecture.md.resolved Crawler Layer; task.md.resolved Abschnitt 1

**Akzeptanzkriterien:**
- [ ] 10.000 Seiten/Minute Durchsatz
- [ ] Duplikate erkannt und übersprungen
- [ ] Dead-Letter-Queue funktioniert

**Rollback:** Spider stoppen; Redis-Queue leeren.","crawler,P0,scrapy","","M-02: Crawler-Layer","5 PT"
"[T-05] Playwright JS-Rendering und Stealth-Layer implementieren","Playwright für JS-Rendering von SPAs. playwright-stealth: Canvas-Fingerprint-Noise, WebGL-Spoofing, Navigator-Mutation. Bezier-Mausbewegungen. User-Agent-Rotation.

**Quelle:** protokollbericht.md.resolved Abschnitt 2.1-2.3; hyper_mega_c2_systembuch.md.resolved Kap. 3.1

**Akzeptanzkriterien:**
- [ ] Playwright rendert Seiten
- [ ] navigator.webdriver = false
- [ ] User-Agent wechselt

**Rollback:** PLAYWRIGHT_ENABLED=false","crawler,P1,playwright,stealth","","M-02: Crawler-Layer","4 PT"
"[T-06] Tor-Proxy-Integration für Dark-Web-Crawling","Automatische Erkennung von .onion-Domains. SOCKS5-Proxy über Tor. Graph-Expansion: neue .onion-Links aus DOM extrahieren.

**Quelle:** protokollbericht.md.resolved Abschnitt 3.1; hyper_mega_c2_systembuch.md.resolved Kap. 3.2

**Akzeptanzkriterien:**
- [ ] .onion-URL via Tor geroutet
- [ ] Neue Links in Queue eingefügt

**Rollback:** USE_TOR=false","crawler,P2,tor,darkweb","","M-02: Crawler-Layer","3 PT"
"[T-07] PDF & DOCX Deep-Text-Extraktion","PyPDF2 + python-docx. EXIF-Metadaten mit exifread. Dateien > 50 MB überspringen.

**Quelle:** protokollbericht.md.resolved Abschnitt 3.2; hyper_mega_c2_systembuch.md.resolved Kap. 4.1

**Akzeptanzkriterien:**
- [ ] PDF-Text extrahiert
- [ ] EXIF-GPS-Daten vorhanden
- [ ] Dateien > 50 MB übersprungen

**Rollback:** ENABLE_DOC_EXTRACTION=false","crawler,P2,osint,metadata","","M-02: Crawler-Layer","2 PT"
"[T-08] Kafka-Consumer und Indexer-Worker implementieren","FastAPI/Celery Indexer-Worker konsumiert Kafka-Topic. HTML-Parsing, NLP-Pipeline, Elasticsearch-Bulk-Indexing (Batches à 100).

**Quelle:** architecture.md.resolved Pipeline Layer; task.md.resolved Abschnitt 2

**Akzeptanzkriterien:**
- [ ] 100.000 Dokumente in < 5 Minuten
- [ ] Consumer-Lag sichtbar in Grafana

**Rollback:** Consumer-Offset zurücksetzen.","nlp,P0,kafka,indexer","","M-03: NLP/KI-Pipeline","3 PT"
"[T-09] spaCy Named Entity Recognition (NER) implementieren","spaCy en_core_web_sm: PERSON, ORG, GPE extrahieren. Regex-basierte BTC/XMR-Wallet-Extraktion.

**Quelle:** protokollbericht.md.resolved Abschnitt 6.3; hyper_mega_c2_systembuch.md.resolved Kap. 4.3

**Akzeptanzkriterien:**
- [ ] NER erkennt Entitäten korrekt
- [ ] BTC/XMR-Regex matcht Wallets
- [ ] < 100 ms pro Dokument

**Rollback:** ENABLE_NER=false","nlp,P1,spacy,ner","","M-03: NLP/KI-Pipeline","2 PT"
"[T-10] VADER Sentiment-Analyse implementieren","vaderSentiment Compound-Score. sentiment_score + sentiment_label im ES-Index.

**Quelle:** architecture.md.resolved Pipeline VADER; task.md.resolved Abschnitt 2

**Akzeptanzkriterien:**
- [ ] Score korrekt für positive/negative Texte
- [ ] Feld im ES-Dokument vorhanden

**Rollback:** ENABLE_SENTIMENT=false","nlp,P2,sentiment","","M-03: NLP/KI-Pipeline","1 PT"
